,Class,Largest Spot Size,Spot Distribution,Activity,Evolution,24 hour flare activity,Historically-complex,Did region become historically complex on this pass across the sun's disk,Area,Area of the largest spot,Had flare
0,3,3,2,1,2,1,1,2,1,2,0
1,4,3,2,1,3,1,1,2,1,2,0
2,3,3,2,1,3,1,1,2,1,1,0
3,4,3,2,1,3,1,1,2,1,2,0
4,4,4,2,1,3,1,1,2,1,2,0
5,4,4,2,1,2,1,1,2,1,2,0
6,4,4,2,1,2,1,1,2,1,1,0
7,4,4,2,1,2,1,1,2,1,2,0
8,4,6,2,1,3,1,1,2,1,2,0
9,3,2,2,1,3,1,1,2,1,1,0
10,2,1,2,1,3,1,1,2,1,1,0
11,4,3,2,1,2,1,1,2,1,1,0
12,3,5,3,1,3,1,1,2,1,2,0
13,4,2,2,1,3,1,1,2,1,1,0
14,2,1,2,1,2,1,1,2,1,1,0
15,2,1,2,1,3,1,1,2,1,1,0
16,4,6,3,1,3,1,1,2,1,2,0
17,4,3,2,1,2,1,1,2,1,2,0
18,4,2,2,1,2,1,1,2,1,1,0
19,3,4,3,1,2,1,1,2,1,2,0
20,3,3,2,1,2,1,1,2,1,1,0
21,2,1,2,1,3,1,1,2,1,1,0
22,6,6,3,1,3,1,2,2,1,2,0
23,2,1,2,1,2,1,1,2,1,1,0
24,7,2,1,1,2,1,1,1,1,2,0
25,2,1,3,1,3,1,1,2,1,1,0
26,3,2,3,1,3,1,1,2,1,2,0
27,2,1,2,1,3,1,1,2,1,1,0
28,2,1,2,1,3,1,1,2,1,2,0
29,4,4,3,1,3,1,2,2,1,2,0
30,4,4,2,1,3,1,1,2,1,2,1
31,2,1,2,1,3,1,1,2,1,1,0
32,4,4,3,1,3,1,1,2,1,2,0
33,2,1,2,1,3,1,1,2,1,2,0
34,4,2,2,1,3,1,1,2,1,2,0
35,4,4,2,1,2,1,1,2,1,1,0
36,3,4,3,1,3,1,1,2,1,1,0
37,4,4,3,1,2,1,2,2,1,1,1
38,4,4,3,2,2,3,1,2,1,2,0
39,4,4,3,1,2,1,2,2,1,2,0
40,2,1,2,1,3,1,1,2,1,1,0
41,4,2,2,1,1,1,1,2,1,1,0
42,4,4,3,1,2,1,1,2,1,1,0
43,4,3,2,1,1,1,1,2,1,1,0
44,4,3,3,1,3,1,1,2,1,1,0
45,4,4,3,1,3,1,2,2,1,2,1
46,4,4,3,2,3,1,2,2,1,1,0
47,4,4,3,1,2,1,2,2,1,1,0
48,2,1,2,1,2,1,1,2,1,1,0
49,4,3,2,1,3,1,2,2,1,2,0
50,4,3,2,1,3,1,1,2,1,1,0
51,2,1,2,1,3,1,1,2,1,1,0
52,4,4,2,1,3,1,2,2,1,2,0
53,4,6,4,2,3,1,2,2,1,2,1
54,4,4,3,1,3,1,2,2,1,2,0
55,2,1,2,1,3,1,1,2,1,1,0
56,4,4,2,1,3,1,2,2,1,2,0
57,4,3,3,1,3,1,1,2,1,1,0
58,4,6,4,1,2,1,1,2,1,2,0
59,4,4,3,1,2,1,1,2,1,2,0
60,2,1,2,1,3,1,1,2,1,1,0
61,4,3,2,1,2,1,2,2,1,2,0
62,4,6,4,2,3,3,2,2,1,2,1
63,5,6,3,2,3,1,2,2,1,2,0
64,4,3,3,1,3,1,2,2,1,2,1
65,3,3,2,1,2,1,2,2,1,2,0
66,4,3,3,1,3,1,2,2,1,2,0
67,7,5,1,1,2,1,2,2,1,1,1
68,4,3,3,1,3,1,2,2,1,2,0
69,2,1,2,1,3,1,1,2,1,1,0
70,2,1,2,1,3,1,1,2,1,1,0
71,3,2,2,1,3,1,1,2,1,1,0
72,7,3,1,1,2,1,1,1,1,2,0
73,4,4,2,1,2,1,2,2,1,2,0
74,4,6,4,2,2,3,2,2,1,2,0
75,4,6,3,1,3,1,2,2,1,2,1
76,4,3,3,1,2,1,2,2,1,1,1
77,3,4,2,1,2,1,2,2,1,2,0
78,4,3,2,1,1,1,2,2,1,2,0
79,7,3,1,1,3,1,2,2,1,2,0
80,4,6,3,1,3,1,2,2,1,2,0
81,7,2,1,1,2,1,1,2,1,2,0
82,2,1,2,1,2,1,1,2,1,1,0
83,7,3,1,1,3,1,1,1,1,2,0
84,3,3,2,1,1,1,2,2,1,2,0
85,4,6,4,2,2,3,2,2,1,2,0
86,4,4,3,1,2,1,2,2,1,2,0
87,3,3,2,2,2,1,2,2,1,1,0
88,3,3,2,1,2,1,2,2,1,2,0
89,3,3,2,1,2,1,2,2,1,2,0
90,3,3,2,2,3,1,2,2,1,2,0
91,4,6,3,1,3,1,2,2,1,2,1
92,7,2,1,1,2,1,1,2,1,2,0
93,7,3,1,1,3,1,1,1,1,2,0
94,3,3,2,1,2,1,1,2,1,2,1
95,3,6,2,1,2,3,2,2,1,2,0
96,3,3,2,1,1,3,2,2,1,2,0
97,3,3,2,1,1,1,2,2,1,2,0
98,3,6,3,1,3,1,2,2,1,2,0
99,5,4,4,1,3,1,2,2,1,2,0
100,7,2,1,1,2,1,1,2,1,2,0
101,7,3,1,1,2,1,1,1,1,2,0
102,7,2,1,1,2,1,1,2,1,2,0
103,7,3,1,2,2,1,1,2,1,2,0
104,2,1,2,1,3,1,1,2,1,2,0
105,3,3,3,1,2,1,2,2,1,2,0
106,7,3,1,1,1,1,2,2,1,2,1
107,4,6,4,1,3,3,2,2,1,2,1
108,4,4,3,2,2,3,2,2,1,2,0
109,7,3,1,1,2,1,1,2,1,2,0
110,2,1,2,1,2,1,1,2,1,1,0
111,3,3,3,2,3,3,1,2,1,1,1
112,3,3,2,1,1,1,1,2,1,2,1
113,7,6,1,2,2,3,2,2,1,2,0
114,4,6,3,1,3,1,2,2,1,2,0
115,7,4,1,1,3,1,1,2,1,2,0
116,3,2,2,1,1,1,1,2,1,2,0
117,3,2,2,1,3,1,1,2,1,2,0
118,2,1,2,1,3,1,1,2,1,1,0
119,2,1,2,1,3,1,1,2,1,1,1
120,7,6,1,1,3,1,2,2,1,2,0
121,3,6,3,1,3,1,2,2,1,2,0
122,7,3,1,1,2,1,1,2,1,2,0
123,2,1,2,1,3,1,1,2,1,1,0
124,3,2,3,2,3,3,1,2,1,2,0
125,7,2,1,1,2,3,1,2,1,2,0
126,2,1,2,1,3,1,1,2,1,1,0
127,4,2,2,1,3,1,1,2,1,2,0
128,7,6,1,1,2,1,2,2,1,2,0
129,4,6,3,1,2,1,2,2,1,2,0
130,7,5,1,1,3,1,1,2,1,2,0
131,2,1,3,1,3,1,1,2,1,1,0
132,2,1,2,1,3,1,1,2,1,1,0
133,2,1,3,1,3,1,1,2,1,1,0
134,4,2,2,2,2,1,1,2,1,2,1
135,7,4,1,1,3,1,2,2,1,2,0
136,3,6,2,1,2,1,2,2,1,2,0
137,7,3,1,1,2,1,1,2,1,2,0
138,2,1,2,1,2,1,1,2,1,1,0
139,2,1,2,1,2,1,1,2,1,1,1
140,3,2,2,1,3,1,1,2,1,1,0
141,2,1,3,1,3,1,1,2,1,1,0
142,3,4,2,1,3,1,2,2,1,2,0
143,3,6,3,1,2,1,2,2,1,2,0
144,7,3,1,1,2,1,1,2,1,2,0
145,4,3,3,1,3,1,1,2,1,1,0
146,2,1,2,1,2,1,1,2,1,1,0
147,2,1,2,2,2,1,1,2,1,1,0
148,7,3,1,1,2,1,1,1,1,2,0
149,7,4,1,1,3,1,1,2,1,2,0
150,3,6,3,1,3,1,2,2,1,2,1
151,2,1,2,1,3,1,1,2,1,2,0
152,7,3,1,1,3,1,1,1,1,2,0
153,3,3,2,1,3,1,1,2,1,2,1
154,3,4,3,1,3,1,1,2,1,2,0
155,7,3,1,1,3,1,1,1,1,2,0
156,4,3,2,1,3,1,1,2,1,2,1
157,3,3,2,1,2,3,2,2,1,2,0
158,2,1,2,1,2,1,1,2,1,1,0
159,7,3,1,1,2,1,1,1,1,2,0
160,3,3,2,1,3,1,1,2,1,2,0
161,3,3,2,1,3,1,1,2,1,2,0
162,7,4,1,1,3,1,1,1,1,2,1
163,2,1,2,2,1,1,1,2,1,1,1
164,7,2,1,1,2,1,1,1,1,2,0
165,3,3,2,2,2,1,2,2,1,2,1
166,7,3,1,1,3,1,1,1,1,2,0
167,7,3,1,2,2,3,1,2,1,2,0
168,3,3,2,1,2,1,1,2,1,2,0
169,3,4,3,1,3,1,1,2,1,2,0
170,5,3,3,1,3,1,1,2,1,2,1
171,2,1,2,1,2,1,1,2,1,1,0
172,4,3,2,1,2,1,1,2,1,2,1
173,3,3,2,1,1,1,2,2,1,2,0
174,3,3,2,1,2,1,1,2,1,2,0
175,7,3,1,1,1,1,1,2,1,2,0
176,3,3,2,1,2,1,1,2,1,2,0
177,3,3,3,2,2,1,1,2,1,2,0
178,4,3,2,1,2,1,2,2,1,2,1
179,4,3,2,1,3,1,1,2,1,2,1
180,2,1,2,1,3,1,1,2,1,2,0
181,3,4,2,1,3,1,1,2,1,2,0
182,3,3,2,1,3,1,1,2,1,2,0
183,3,2,3,1,3,1,1,2,1,2,0
184,2,1,2,1,2,3,2,2,1,2,0
185,2,1,3,2,3,1,1,2,1,2,1
186,4,5,2,1,2,1,1,2,1,2,0
187,7,3,1,1,1,1,1,2,1,2,0
188,7,2,1,1,2,1,1,2,1,2,0
189,7,4,1,1,2,1,1,2,1,2,0
190,3,2,3,1,2,1,1,2,1,2,0
191,3,2,2,2,1,1,1,2,1,2,0
192,4,6,2,1,3,1,1,2,1,2,1
193,4,2,2,1,2,1,1,2,1,2,0
194,7,3,1,1,2,1,1,2,1,2,0
195,2,1,2,1,2,1,1,2,1,1,0
196,2,1,3,1,3,1,1,2,1,2,0
197,2,1,2,1,3,1,1,2,1,1,0
198,3,3,2,1,3,1,1,2,1,2,1
199,4,4,3,1,3,1,1,2,1,2,0
200,2,1,2,1,3,1,1,2,1,2,1
201,2,1,2,1,2,1,1,2,1,2,0
202,2,1,3,1,3,1,1,2,1,1,0
203,2,1,3,1,3,1,1,2,1,1,0
204,4,4,3,1,3,1,1,2,1,2,0
205,3,5,3,2,3,1,1,2,1,2,0
206,4,6,2,1,3,1,2,2,1,2,1
207,2,1,2,1,3,1,1,2,1,2,1
208,3,6,3,1,3,1,1,2,1,1,0
209,3,4,2,1,2,1,1,2,1,2,0
210,4,4,3,1,2,1,1,2,1,2,0
211,2,1,2,1,3,1,1,2,1,2,0
212,2,1,3,1,3,1,1,2,1,2,0
213,2,1,2,1,3,1,1,2,1,2,1
214,2,1,3,1,2,1,2,2,1,2,0
215,2,1,3,1,3,1,1,2,1,1,0
216,3,4,3,1,3,1,2,2,1,2,0
217,3,5,3,2,2,3,1,2,1,2,1
218,6,6,3,1,2,1,2,2,1,2,1
219,3,2,2,1,2,3,1,2,1,2,0
220,5,4,2,1,2,1,1,2,1,2,0
221,3,3,2,1,1,1,1,2,1,2,0
222,4,4,3,1,3,1,2,2,1,2,0
223,2,1,2,2,3,1,1,2,1,2,1
224,3,2,2,1,3,1,1,2,1,2,0
225,4,3,3,1,2,1,2,2,1,2,0
226,7,4,1,1,3,1,1,1,1,2,0
227,2,1,2,1,2,1,1,2,1,1,0
228,3,4,2,1,3,1,2,2,1,2,0
229,4,5,3,1,3,1,1,2,1,2,0
230,6,4,3,2,3,1,2,2,1,2,0
231,5,6,2,1,3,1,1,2,1,2,1
232,7,3,1,1,3,1,1,2,1,2,0
233,4,6,4,1,3,1,2,2,1,2,0
234,2,1,2,1,3,1,1,2,1,1,0
235,2,1,2,2,2,3,1,2,1,1,0
236,4,4,3,1,3,1,1,2,1,2,0
237,3,4,3,1,3,1,2,2,1,2,0
238,7,2,1,1,2,1,1,1,1,2,0
239,3,2,2,1,1,1,2,2,1,1,0
240,4,5,3,2,3,3,2,2,1,2,0
